px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.1198	23.9322	2.77475	0.157877	-0.0727131	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.7244
68.3832	24.3715	2.59281	0.155958	-0.0292515	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	2.1408
68.4282	24.3916	2.61829	0.163911	-0.0273644	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.20653
70.8223	24.8802	2.62434	0.21369	0.0305049	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.0235128
70.7779	24.8569	2.54817	0.175991	-0.0292959	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	1.21304
72.9852	24.742	2.41487	-0.147239	-0.249502	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	1.53618
73.0074	24.7491	2.42722	-0.150944	-0.260829	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.319365
75.128	25.1911	2.18772	0.21707	0.176777	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	4.51507
75.0956	25.1796	2.15557	0.199389	0.15544	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.344277
77.1519	24.965	2.12578	-0.177796	-0.229845	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.08307
77.1579	24.9454	2.09938	-0.242942	-0.333225	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.462623
79.1428	24.985	2.00948	0.01668	0.0914579	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.7645
79.1322	24.9829	1.98765	-0.00297879	0.0577993	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.190862
80.8573	24.877	1.91943	-0.055725	-0.0210895	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.408874
80.8767	24.8695	1.89247	-0.116093	-0.124683	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.42947
82.6171	24.6365	1.89691	-0.176951	-0.0783573	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0152946
82.5936	24.616	1.86432	-0.239577	-0.169929	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.373528
84.2221	24.5163	1.76043	-0.0785431	0.0543065	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.8509
84.2144	24.512	1.74487	-0.101307	0.0189421	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.106426
85.6807	23.8306	1.70574	-0.537656	-0.303389	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.879507
85.7228	23.8564	1.73785	-0.485711	-0.240031	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.708497
87.0323	23.4447	1.53507	-0.406048	-0.0448662	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	2.62382
87.1092	23.4763	1.55648	-0.371494	-0.043948	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.28362
88.7047	22.8267	1.74965	-0.371807	0.00069811	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.2424
88.6515	22.7966	1.71006	-0.467882	-0.116278	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.806763
89.6603	22.2265	1.42165	-0.61794	-0.181782	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	4.93536
89.6791	22.2317	1.42582	-0.628808	-0.213172	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.37047
90.5782	21.6029	1.26891	-0.726742	-0.152421	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	1.36796
90.6622	21.6401	1.30158	-0.578955	0.0112043	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.61631
91.7183	21.1019	1.28029	-0.431854	0.105498	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0811166
91.7669	21.1182	1.28753	-0.429111	0.0709372	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.84754
92.8784	20.9271	1.23149	-0.0897783	0.249722	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.34052
92.9202	20.9475	1.21631	-0.0982365	0.201944	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.75729
93.6355	20.2657	0.991129	-0.67934	-0.287785	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	5.67049
93.6656	20.2983	1.02863	-0.581187	-0.173117	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.556033
95.0856	19.7521	1.40307	-0.148877	0.306217	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	9.99635
94.9479	19.7094	1.29422	-0.394971	0.0626176	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.72086
95.6912	19.6249	0.989029	-0.14523	0.172971	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	5.54193
95.6685	19.618	0.962966	-0.177149	0.136901	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.176959
96.3358	19.1875	0.874248	-0.513983	-0.164	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.26019
96.3639	19.2021	0.899939	-0.464067	-0.113865	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.306404
97.389	18.7752	1.11665	-0.370233	0.0497763	97.5286	18.727	97.45	18.506	0.868716	-0.503009	3.12468
97.3882	18.7715	1.11296	-0.389954	0.0267629	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0738156
98.234	18.3697	1.0808	-0.421954	-0.0116836	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.0841401
98.244	18.3674	1.07682	-0.452032	-0.0585648	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.309841
99.0049	17.414	1.18362	-1.08797	-0.416438	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	1.33358
99.0381	17.4767	1.19257	-0.807862	-0.0803179	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.78536
99.9832	16.9475	1.14553	-0.470504	0.200348	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.763064
100.044	16.9657	1.15467	-0.432227	0.202918	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.01121
101.143	16.5555	1.24956	-0.237991	0.193405	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.549754
101.125	16.5447	1.21359	-0.307484	0.105446	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.404905
102.327	16.4011	1.2947	-0.0111672	0.229017	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.560358
102.258	16.3828	1.2207	-0.0779506	0.16212	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.57592
103.107	15.4155	1.08565	-1.01803	-0.529723	103.003	15.353	103.119	15.4967	1.11708	-0.508169	4.38263
103.064	15.4914	1.08961	-0.738903	-0.177815	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.71991
104.083	15.2073	1.04836	-0.209035	0.297347	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.98629
104.069	15.1934	1.07573	-0.205463	0.322456	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.09317
105.364	14.4999	1.38377	-0.673175	-0.210288	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	5.96538
105.356	14.528	1.39691	-0.560299	-0.0732964	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.487223
106.751	14.0591	1.50123	-0.213679	0.233649	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.36274
106.711	14.0479	1.48687	-0.240222	0.219184	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0.786849
108.062	13.6724	1.5291	-0.196969	0.099635	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.15436
108.077	13.679	1.54831	-0.175032	0.127111	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0911749
109.515	13.57	1.57531	0.00543965	0.163387	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0588692
109.485	13.5631	1.54848	-0.0082389	0.149826	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.337628
111.03	12.6272	1.60605	-0.818293	-0.492054	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	2.46092
111.106	12.7218	1.69692	-0.551088	-0.137209	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	4.01218
112.862	12.4551	1.71026	0.0279914	0.395937	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.15948
112.866	12.4511	1.72687	0.0273963	0.397494	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.0989278
114.689	12.5372	1.89514	0.161526	0.184489	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	1.94128
114.714	12.5387	1.90283	0.156911	0.176928	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.42669
116.652	12.1247	1.92447	-0.328783	-0.279667	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	1.28842
116.696	12.1672	2.00207	-0.225277	-0.126388	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.4578
118.831	12.0124	2.1701	0.00515339	0.159861	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	2.45
118.84	12.015	2.17531	0.00914417	0.163621	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.0444036
120.729	12.292	2.12292	0.252651	0.222673	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.183217
120.763	12.2915	2.15529	0.246347	0.211201	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.412181
123.296	12.7509	2.54429	0.114916	-0.0949707	123.568	12.8297	122.95	12.5114	2.29835	0.246599	11.0692
123.262	12.7459	2.4979	0.119269	-0.0899709	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0.465016
125.095	12.7941	2.20241	-0.0631018	-0.173025	124.894	12.7743	125.242	12.8125	2.37624	0.369827	5.90958
125.168	12.8188	2.30263	-0.020002	-0.104476	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.229
127.696	13.3157	2.52277	0.342651	0.255362	127.853	13.3273	127.609	13.2365	2.44434	0.495787	4.30403
127.674	13.2994	2.52886	0.309668	0.207427	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.562041
129.965	13.7183	2.48626	0.196513	-0.020806	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.423294
130.015	13.7171	2.50662	0.180679	-0.0352134	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.37153
132.136	14.5037	2.45278	0.401136	0.150919	132.092	14.507	132.53	14.458	2.55028	0.74543	0.459657
132.198	14.492	2.52544	0.347158	0.0618009	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.35116
134.903	15.0019	2.77312	0.0595992	-0.225965	135.074	15.0475	135.066	15.2513	2.58865	0.863795	4.62198
134.92	14.9942	2.76072	0.0425923	-0.248039	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.557932
137.56	16.1839	2.7635	0.599906	0.343271	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.9475
137.595	16.1417	2.84238	0.483671	0.141957	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.47028
140.286	17.0059	2.88795	0.225723	-0.184055	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.861715
140.301	17.0069	2.90019	0.219536	-0.191838	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0865338
142.892	17.9789	2.91041	0.369344	0.0644823	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.382747
142.862	17.9708	2.89949	0.353444	0.0369755	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.606737
145.372	19.15	2.93524	0.486675	0.10705	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.111069
145.45	19.1457	2.9967	0.440867	0.0382516	145.789	19.3785	145.51	19.4754	2.66445	1.23795	2.0075
148.168	20.4401	3.12831	0.431561	-0.0117258	148.251	20.4754	148.163	20.7364	2.66951	1.29702	1.15824
148.157	20.4473	3.10312	0.468425	0.0568222	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.332687
150.661	22.0959	3.1549	0.645866	0.145465	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.194436
150.675	22.0818	3.17686	0.586714	0.0354589	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.389659
153.4	23.489	3.19262	0.413603	-0.134673	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.238841
153.374	23.4904	3.15245	0.455352	-0.0575253	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.472234
156.042	24.8048	3.16241	0.43894	-0.0258417	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0105918
156.013	24.8164	3.10628	0.505924	0.0964258	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.931656
158.848	26.0099	3.18524	0.341476	-0.113839	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.742595
158.869	26.0108	3.18462	0.343739	-0.10015	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.436347
161.459	27.4274	3.13139	0.540013	0.12386	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.581915
161.466	27.4404	3.11948	0.576773	0.193188	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.391391
163.719	28.8469	2.92988	0.647615	0.12761	163.625	28.7683	164.155	28.8064	2.64354	1.28825	2.34381
163.81	28.8448	2.98489	0.581663	0.0325225	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.24915
166.701	30.1458	3.174	0.280156	-0.250696	166.828	30.2062	166.809	30.0721	2.63006	1.22694	3.25435
166.671	30.1362	3.11079	0.308249	-0.199358	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.926765
169.186	31.3768	2.99375	0.446552	0.0423404	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.43597
169.186	31.3805	2.98497	0.459453	0.065947	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0665845
172.084	32.3092	3.11972	0.211197	-0.190333	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.62382
172.082	32.3016	3.07894	0.207486	-0.191503	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.800564
174.702	33.4533	3.00515	0.437181	0.116233	174.643	33.4625	174.685	33.4095	2.56021	0.960341	1.05795
174.667	33.4626	2.95013	0.477274	0.189391	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.616273
177.115	34.2695	2.78626	0.346979	-0.029599	177.03	34.2009	177.261	34.3262	2.52363	0.850119	2.14275
177.1	34.2672	2.75167	0.362451	0.000125731	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.363132
179.961	35.0824	3.02482	0.196687	-0.127971	180.145	35.1423	179.799	35.1289	2.47883	0.732949	5.25216
179.879	35.0611	2.90469	0.211499	-0.108694	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.9816
182.564	35.7422	2.95563	0.24103	-0.00200698	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.237484
182.473	35.7318	2.83531	0.258452	0.0283439	182.047	36.2626	182.292	35.8114	2.42515	0.611338	3.17193
184.809	36.5333	2.72254	0.368553	0.0929803	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.862853
184.765	36.5427	2.64304	0.420032	0.182005	184.833	36.1451	184.73	36.37	2.36226	0.487877	1.61384
187.031	37.0051	2.47808	0.212268	-0.0890077	186.946	36.9404	187.103	36.804	2.29017	0.365145	2.13737
187.065	37.0062	2.49119	0.198959	-0.101896	187.296	36.9375	187.103	36.804	2.29017	0.365145	0.594977
189.423	37.3974	2.55221	0.123792	-0.0770606	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.253057
189.432	37.3931	2.51756	0.116159	-0.0907894	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.30807
191.739	37.5631	2.51245	0.0307482	-0.0871901	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.00176655
191.696	37.543	2.4431	-0.0093046	-0.152706	191.682	37.1147	191.615	37.3064	2.12037	0.131591	1.04915
193.608	37.2713	2.2401	-0.242273	-0.232149	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	2.85731
193.603	37.2683	2.23461	-0.249162	-0.243012	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0105682
195.939	37.3805	2.26283	0.167876	0.261578	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.77789
195.847	37.3729	2.15131	0.137085	0.230086	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	3.00087
197.744	37.7374	2.12368	0.289518	0.178371	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.0804236
197.696	37.7336	2.06791	0.298202	0.194008	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.822584
199.456	37.3844	1.77566	-0.19405	-0.258695	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	6.19488
199.44	37.3807	1.76221	-0.194763	-0.261623	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.104595
201.39	37.0281	1.98997	-0.195642	-0.0226314	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	3.86924
201.312	36.992	1.92593	-0.286609	-0.138595	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	1.78816
202.971	36.4509	1.90681	-0.364931	-0.0986686	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0254203
202.919	36.4213	1.85734	-0.468952	-0.249857	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.93892
204.156	36.0765	1.52011	-0.46174	-0.12498	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	6.54895
204.138	36.0727	1.5323	-0.414625	-0.0288155	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.50958
