px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44647	0.251376	-3.03655	-0.000671892	-1.98284e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00601996
8.46671	0.249559	-2.56769	-0.0111678	-0.00202718	8.56759	0.241943	8.45	0.25	0	0	0.990553
8.42225	0.252814	-2.50925	-0.0169963	-0.00262809	8.45582	0.253997	8.45	0.25	0	0	0.100054
8.32866	0.253227	-2.55243	-0.00923218	-0.000371123	8.42544	0.254042	8.35	0.25	-1.81979	0	0.11922
8.22694	0.251076	-2.53726	0.0039807	0.00306108	8.23962	0.24916	8.25	0.25	-1.81978	0	0.0117197
7.98516	0.226769	-3.58221	0.0737801	0.0533571	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	6.33438
7.82874	0.179052	-3.57133	0.148006	0.0978192	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.0566981
7.66494	0.146484	-3.53162	0.172573	0.136456	7.61269	0.155818	7.7	0.15	-2.99982	0	0.0902744
7.50716	0.14006	-3.51149	0.144247	0.09418	7.54016	0.159641	7.55	0.15	-2.99982	0	0.0995776
7.42623	0.0357521	-3.08538	0.352623	0.718913	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	13.6465
7.28609	0.00365568	-3.05564	0.354942	0.653913	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.255717
7.13226	-0.0320672	-3.05158	0.34509	0.535367	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.138932
6.9928	-0.0761623	-3.02485	0.35943	0.509807	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.242697
6.89763	-0.234014	-2.95704	0.67876	1.36072	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.75853
6.78884	-0.311148	-2.92161	0.72366	1.31012	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.382633
6.67541	-0.384559	-2.9084	0.736741	1.18796	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.122212
6.58418	-0.479782	-2.89147	0.797665	1.19521	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.204844
6.54193	-0.642496	-2.90546	1.04499	1.65698	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	3.90996
6.48856	-0.744648	-2.86632	1.1183	1.65603	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.771322
6.44233	-0.900075	-2.87845	1.25941	1.77765	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.454686
6.41141	-1.05253	-2.87189	1.36344	1.78805	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.11712
6.29769	-1.13741	-2.76221	1.22232	1.23646	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	12.1937
6.25189	-1.276	-2.75525	1.28973	1.23881	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.0366535
6.33478	-1.47437	-2.81835	1.61153	1.84513	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	19.0516
6.35112	-1.63261	-2.82313	1.71494	1.8455	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.0380272
6.28556	-1.73261	-2.69904	1.60036	1.33437	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	17.6976
6.28342	-1.88119	-2.71989	1.65871	1.31513	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.337293
6.33051	-2.03137	-2.762	1.79215	1.48419	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	2.35215
6.35999	-2.17663	-2.77838	1.86025	1.46985	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.213848
6.34705	-2.31871	-2.71853	1.81979	1.16835	6.32593	-2.40018	6.35	-2.4	0	-2.72613	7.46895
6.37726	-2.47824	-2.73921	1.87115	1.14342	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0.341983
6.42459	-2.62884	-2.75259	1.93314	1.14414	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.19499
6.46878	-2.78341	-2.77014	1.98016	1.11687	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.275229
6.47649	-2.91743	-2.72799	1.94263	0.891723	6.46536	-3.00452	6.45	-3	0	-2.99754	4.41777
6.50519	-3.06684	-2.75227	1.95919	0.845874	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0.640254
6.56263	-3.21621	-2.7708	2.00505	0.85374	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.350607
6.60536	-3.37735	-2.79408	2.02174	0.805944	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0.599376
6.69373	-3.52052	-2.83253	2.10448	0.907147	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.53773
6.76523	-3.67397	-2.85399	2.13515	0.87528	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.370676
6.82509	-3.81566	-2.83372	2.13661	0.770989	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.28184
6.89054	-3.97348	-2.85626	2.14757	0.72089	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0.494385
6.94516	-4.11618	-2.83308	2.13476	0.609189	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.27586
7.0015	-4.27568	-2.85107	2.12909	0.5488	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0.5279
7.02077	-4.42395	-2.78005	2.04679	0.293066	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	7.25182
7.0801	-4.56101	-2.77735	2.05277	0.278358	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.0912285
7.13421	-4.69866	-2.76164	2.04013	0.216348	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0.343137
7.18726	-4.84444	-2.76608	2.0333	0.18891	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0.120076
7.30364	-4.97409	-2.81807	2.12629	0.378418	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.59072
7.36181	-5.12291	-2.82641	2.11793	0.336191	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0.278232
7.42238	-5.25896	-2.81165	2.10859	0.280991	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.460905
7.4825	-5.4103	-2.82285	2.09755	0.241907	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.204312
7.56017	-5.54642	-2.82354	2.10597	0.230357	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.132971
7.64156	-5.67537	-2.82138	2.12213	0.235535	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.00459644
7.70222	-5.8071	-2.79957	2.10683	0.175731	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.574631
7.76711	-5.94661	-2.80165	2.10076	0.152659	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.0728928
7.90319	-6.05951	-2.88471	2.21944	0.405261	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.00819
7.97511	-6.19317	-2.89734	2.21545	0.369362	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.183875
8.06143	-6.3224	-2.87866	2.21582	0.323181	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0.959322
8.15666	-6.44849	-2.87987	2.23266	0.321726	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.00154304
8.2299	-6.57194	-2.84794	2.22119	0.262529	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.02338
8.29967	-6.71704	-2.8545	2.20198	0.212357	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.215531
8.38229	-6.84244	-2.84671	2.20432	0.196407	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.241802
8.4677	-6.96824	-2.84384	2.2089	0.18732	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.0340169
8.53317	-7.08181	-2.8216	2.19618	0.143951	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.581196
8.59198	-7.21544	-2.82689	2.17206	0.0977685	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.188869
8.71352	-7.33115	-2.89824	2.24182	0.243642	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.21877
8.77413	-7.47637	-2.91162	2.21007	0.178913	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.404962
8.82457	-7.6096	-2.8407	2.15336	0.0371711	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.85816
8.89013	-7.75091	-2.84048	2.13226	0.00308996	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.130752
8.96658	-7.87199	-2.84929	2.13727	0.0177571	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.165222
9.01448	-8.01279	-2.8539	2.10292	-0.0334849	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.25414
9.02289	-8.15533	-2.77484	2.00012	-0.243389	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	6.80093
9.0835	-8.28431	-2.76536	1.99056	-0.238529	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.119944
9.16408	-8.40635	-2.78923	2.01921	-0.152234	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.781612
9.20243	-8.54282	-2.79118	1.98822	-0.185248	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.157349
9.21271	-8.69159	-2.74693	1.89565	-0.360181	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	3.32781
9.26206	-8.82109	-2.73467	1.88437	-0.349366	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.162621
9.47326	-8.92052	-2.84884	2.1555	0.267895	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	30.9368
